LexicalClass,EntryID,LemmaID,Iconicity(M),Iconicity(bin),SignFrequency(M),SignFrequency(bin),SignFrequency(SD),SignFrequency(Z),SignFrequency(N),PercentUnknown,SignFrequency(M-Native),SignFrequency(SD-Native),SignFreqZ(native),SignFrequency(N-Native),PercentUnknown(Native),GlossConfirmation,PercentGlossAgreement,PercentGlossAgreement(Native),Iconicity(SD),Iconicity(Z),Iconicity(N),SubtLexUSLog10WF,Compound,Initialized,FingerspelledLoanSign,SignOnset(ms),SignOffset(ms),SignLength(ms),SignLength(bin),ClipLength(ms),SignType,MajorLocation,MinorLocation,SelectedFingers,Flexion,Movement,MinimalNeighborhoodDensity,MaximalNeighborhoodDensity,Parameter-BasedNeighborhoodDensity,SignTypeFrequency,MajorLocationFrequency,MinorLocationFrequency,SelectedFingersFrequency,FlexionFrequency,MovementFrequency,HandshapeFrequency,,Batch,Item,List,Repeat.1,Telic,TelicHow,repetition,telicity notes
Verb,peg,peg,3.3,medicon,1.192,lofreq,0.634,-1.677952179,26,0.00%,1.118,0.332,-1.705280895,17,0.00%,0,,,2.166,0.167,30,3.269,0,0,0,667.33,1768.44,1101.1,long,2702.7,Other,Hand,FingerBack,i,4,Other,473,0,0,17,216,21,265,52,46,16,,D,6,2,0,0,contactChange,repetition,
Verb,skateboarding,skateboarding,4.63,hiicon,1.893,lofreq,1.066,-1.489552278,28,6.67%,1.75,1,-1.700621569,16,11.11%,0,,,2.025,0.9,27,1.477,0,0,0,667.33,1401.4,734.07,medlong,2268.94,AsymmetricalDifferentHandshape,Hand,FingerBack,im,Stacked,None,454,7,0,178,216,21,129,13,180,13,,C,52,2,0,0,,repetition,
Verb,shave,shave,6.129,hiicon,2.5,medfreq,1.673,-1.353058304,16,36.00%,2,1.155,-1.550228992,10,28.57%,1,37.50%,30.00%,1.821,1.519,31,2.847,0,0,0,467.13,1301.3,834.17,medlong,2202.2,OneHanded,Head,CheekNose,imrp,7,BackAndForth,846,34,2,388,300,45,455,82,354,72,,B,17,3,0,0,,repetition,
Verb,pop,pop,4.125,medicon,1.696,lofreq,0.822,-1.395939899,23,11.54%,1.571,0.646,-1.462355919,14,12.50%,1,86.96%,85.71%,2.009,0.536,24,3.537,0,0,0,600.6,967.63,367.03,medshort,1901.9,AsymmetricalDifferentHandshape,Hand,Other,i,6,BackAndForth,648,19,3,178,216,74,265,74,354,42,,D,23,3,0,1,decel,,
Verb,hunt,hunt,4.778,hiicon,2.5,medfreq,1.445,-1.345821651,24,0.00%,2.308,1.109,-1.447652803,13,0.00%,0,,,2.016,0.886,27,3.121,0,0,0,800.8,1334.67,533.87,medshort,2235.57,SymmetricalOrAlternating,Neutral,Neutral,im,1,BackAndForth,861,54,7,332,349,345,129,487,354,66,,B,25,1,0,0,,repetition,
Verb,drown,drown,2.611,medicon,1.875,lofreq,1.116,-1.29999128,24,11.11%,1.5,0.76,-1.437645094,14,12.50%,0,,,2.025,-0.179,36,2.733,0,0,0,667.33,1568.24,900.9,medlong,2168.84,AsymmetricalDifferentHandshape,Hand,Palm,imrp,7,Curved,658,12,1,178,216,91,455,82,125,72,,D,17,1,0,1,,,
Verb,downsize_1,downsize,5.484,hiicon,2.308,lofreq,1.258,-1.198079694,26,13.33%,2.067,1.223,-1.413976614,15,16.67%,1,46.15%,33.33%,1.821,1.095,31,0.954,0,0,0,433.77,1167.84,734.07,medlong,2002,SymmetricalOrAlternating,Neutral,Neutral,i,1,Straight,840,41,10,332,349,345,265,487,177,134,,C,55,1,0,0,,repetition,
Verb,sail,sail,2.303,loicon,1.652,lofreq,1.152,-1.448786337,23,14.81%,1.643,1.216,-1.399106372,14,12.50%,0,,,2.025,-0.335,33,2.846,0,0,0,700.7,1668.34,967.63,medlong,2602.6,AsymmetricalDifferentHandshape,Neutral,Neutral,imrp,3,Straight,801,6,3,178,349,345,455,88,177,34,,D,74,1,0,0,,,
Verb,juggle,juggle,6.371,hiicon,1.778,lofreq,1.219,-1.346573805,27,0.00%,1.688,1.138,-1.364792295,16,0.00%,0,,,2.025,1.723,35,1.45,0,0,0,333.67,2335.67,2002,long,2736.07,SymmetricalOrAlternating,Neutral,Neutral,imrp,7,Circular,702,35,4,332,349,345,455,82,111,72,,D,37,1,0,0,apertureChange,repetition,
Verb,sew,sew,5.867,hiicon,2.48,medfreq,1.759,-1.330701171,25,0.00%,2.429,1.742,-1.323145221,14,0.00%,0,,,2.045,1.517,30,2.449,0,0,0,467.13,1134.47,667.33,medlong,1634.97,AsymmetricalSameHandshape,Hand,FingerTip,i,6,Circular,526,5,2,78,216,15,265,74,111,42,,B,73,2,0,0,contactChange,repetition,
Verb,saw,saw,5.875,hiicon,1.571,lofreq,0.87,-1.425391783,21,19.23%,1.636,0.809,-1.314987258,11,31.25%,1,90.48%,100.00%,2.009,1.414,24,4.312,0,0,0,567.23,1668.34,1101.1,long,2102.1,OneHanded,Neutral,Neutral,imrp,7,BackAndForth,867,30,12,388,349,345,455,82,354,72,,D,60,3,0,0,,repetition,
Verb,recording,recording,2.267,loicon,2.84,medfreq,1.463,-1.115209667,25,0.00%,2.571,1.453,-1.23012846,14,0.00%,0,,,1.948,-0.275,30,2.875,0,0,0,633.97,1368.04,734.07,medlong,1868.54,SymmetricalOrAlternating,Neutral,Neutral,m,3,Circular,563,8,3,332,349,345,30,88,111,23,,B,89,3,0,0,,repetition,
Verb,swing,swing,6.29,hiicon,1.8,lofreq,1.265,-1.296145975,15,44.44%,1.714,1.254,-1.214089864,7,46.15%,1,26.67%,14.29%,1.821,1.567,31,3.123,0,0,0,600.6,1768.44,1167.84,long,2302.3,OneHanded,Neutral,Neutral,imrp,1,BackAndForth,943,70,32,388,349,345,455,487,46,192,,A,18,2,0,0,,repetition,
Verb,sneeze,sneeze,6.806,hiicon,2.533,medfreq,1.456,-1.063415087,30,0.00%,2.389,1.335,-1.212313504,18,0.00%,0,,,2.075,1.899,36,2.179,0,0,0,667.33,1401.4,734.07,medlong,2635.97,OneHanded,Head,UpperLip,im,7,Straight,659,8,0,388,300,7,129,82,177,4,,C,66,3,0,1,decel|apertureChange,,TNM
Verb,parachute,parachute,5.829,hiicon,1.548,lofreq,1.121,-1.27903727,31,0.00%,1.667,1.283,-1.148020113,18,0.00%,0,,,2.048,1.302,35,2.212,0,0,0,500.5,1735.07,1234.57,long,1935.27,Other,Hand,Other,imrp,7,Straight,662,1,1,17,216,74,455,82,177,72,,A,21,1,0,0,apertureChange,,
Verb,rake,rake,5.88,hiicon,2.231,lofreq,1.478,-1.065722718,26,0.00%,2.125,1.204,-1.145218576,16,0.00%,0,,,2.009,1.4,25,2.185,0,0,0,600.6,1568.24,967.63,medlong,2068.74,AsymmetricalDifferentHandshape,Hand,Palm,imrp,5,Circular,653,9,2,178,216,91,455,108,111,89,,D,21,3,0,0,contactChange,repetition,
Verb,crawl,crawl,2.914,medicon,2.296,lofreq,1.295,-1.034887767,27,0.00%,2.125,1.088,-1.115330867,16,0.00%,0,,,2.025,-0.029,35,2.789,0,0,0,500.5,1634.97,1134.47,long,2502.5,AsymmetricalDifferentHandshape,Hand,Palm,im,2,Straight,486,10,0,178,216,91,129,76,177,19,,D,68,1,0,0,,repetition,
Verb,dive,dive,4.065,medicon,2.37,medfreq,1.334,-1.030786694,27,0.00%,2.294,0.985,-1.078633996,17,0.00%,0,,,2.166,0.514,31,2.816,0,0,0,767.43,1634.97,867.53,medlong,2135.47,AsymmetricalDifferentHandshape,Hand,FingerBack,im,3,Curved,475,4,0,178,216,21,129,88,125,8,,D,29,2,0,1,contactChange,,
Verb,prefer,prefer,1.577,loicon,3.52,medfreq,1.917,-0.696898949,25,0.00%,2.929,1.774,-1.030056072,14,0.00%,1,44.00%,57.14%,2.016,-0.641,26,3.225,0,0,0,433.77,967.63,533.87,medshort,1634.97,OneHanded,Body,Clavicle,imrp,3,Straight,800,9,0,388,100,41,455,88,177,34,,B,78,1,0,1,apertureChange,,
Verb,cheat_2,cheat_2,1.333,loicon,2.56,medfreq,1.502,-0.942804848,25,7.41%,2.375,1.544,-0.996308442,16,0.00%,1,100.00%,100.00%,2.025,-0.794,36,2.955,0,0,0,600.6,1468.14,867.53,medlong,2702.7,AsymmetricalDifferentHandshape,Arm,ForearmUlnar,ip,1,BackAndForth,737,3,0,178,27,12,7,487,354,7,,D,27,1,0,0,,repetition,
Verb,kneel,kneel,4.111,medicon,2.533,medfreq,1.479,-1.065353137,30,0.00%,2.833,1.618,-0.985377452,18,0.00%,1,100.00%,100.00%,2.075,0.56,36,2.436,0,0,0,367.03,767.43,400.4,medshort,1501.5,AsymmetricalDifferentHandshape,Hand,Palm,im,2,None,490,11,0,178,216,91,129,76,180,19,,C,21,3,0,1,contactChange,,
Verb,skate,skate,2.433,medicon,2.8,medfreq,1.827,-0.936428216,30,0.00%,2.944,1.862,-0.939151723,18,0.00%,0,,,1.921,-0.244,30,2.48,0,0,0,600.6,1701.7,1101.1,long,2369.04,SymmetricalOrAlternating,Neutral,Neutral,i,2,BackAndForth,765,27,8,332,349,345,265,76,354,39,,C,90,1,0,0,,repetition,
Verb,mock,mock,1.7,loicon,2.8,medfreq,1.4,-0.866535091,30,0.00%,2.889,1.53,-0.90241369,18,0.00%,0,,,1.921,-0.599,30,2.439,0,0,0,367.03,967.63,600.6,medshort,1735.07,SymmetricalOrAlternating,Neutral,Neutral,ip,1,Straight,771,22,0,332,349,345,7,487,177,7,,C,15,1,0,0,decel,repetition,
Verb,knitting,knitting,4.042,medicon,2.958,medfreq,2.074,-0.652986661,24,7.69%,2.6,1.682,-0.879476358,15,6.25%,0,,,2.009,0.542,24,2.064,0,0,0,533.87,1501.5,967.63,medlong,2035.37,SymmetricalOrAlternating,Neutral,Neutral,i,1,None,835,32,5,332,349,345,265,487,180,134,,D,71,3,0,0,orientationChange,repetition,
Verb,download,download,2.667,medicon,3.138,medfreq,1.977,-0.70889104,29,3.33%,3.056,2.155,-0.844386708,18,0.00%,1,96.55%,94.44%,2.075,-0.144,36,2.228,0,1,1,633.97,1167.84,533.87,medshort,2202.2,SymmetricalOrAlternating,Neutral,Neutral,mrp,6,Straight,589,2,0,332,349,345,4,74,180,4,,C,46,3,0,1,apertureChange|decel|decel,,
Verb,tear,tear,6.889,hiicon,2.967,medfreq,1.497,-0.800381897,30,0.00%,3.056,1.552,-0.839468765,18,0.00%,0,,,2.025,2.104,27,3.139,0,0,0,567.23,1301.3,734.07,medlong,2302.3,OneHanded,Head,CheekNose,i,1,Straight,816,67,12,388,300,45,265,487,177,134,,C,16,2,0,0,,,
Verb,try,try,1.633,loicon,3.542,medfreq,1.719,-0.696278317,24,4.00%,3.385,1.193,-0.822195588,13,7.14%,0,,,2.045,-0.545,30,4.386,0,0,0,400.4,934.27,533.87,medshort,1701.7,SymmetricalOrAlternating,Neutral,Neutral,imrp,7,Curved,697,41,1,332,349,345,455,82,180,72,,D,38,3,0,1,orientationChange,,
Verb,comb,comb,6.185,hiicon,3,medfreq,1.875,-0.767620279,30,0.00%,3.167,1.823,-0.779276161,18,0.00%,0,,,2.025,1.69,27,2.491,0,0,0,467.13,1034.37,567.23,medshort,1835.17,OneHanded,Head,Other,imrp,5,BackAndForth,851,46,8,388,300,74,455,108,354,89,,C,70,2,0,0,,repetition,
Verb,steal,steal,2.704,medicon,3.067,medfreq,1.574,-0.738257088,30,0.00%,3.222,1.517,-0.727475234,18,0.00%,0,,,2.025,-0.048,27,3.435,0,0,0,667.33,1401.4,734.07,medlong,2268.94,OneHanded,Arm,ForearmUlnar,im,1,Straight,766,6,1,388,27,12,129,487,177,66,,C,19,2,0,1,apertureChange|contactChange,,
Verb,inject,inject,6.333,hiicon,2.654,medfreq,1.468,-0.856793915,26,0.00%,2.938,1.181,-0.701721754,16,0.00%,0,,,2.009,1.687,24,2.093,0,0,0,433.77,1434.77,1001,long,2002,OneHanded,Arm,ElbowFront,i,1,Straight,794,17,1,388,27,1,265,487,177,134,,D,9,3,0,1,apertureChange|contactChange,,
